"SampleID","Pot","Intensity","Frequency","Composition","N","H","PC1","PC2","Category"
"WH51-B-M","Pot-51","Wet","High","Heterospecific",42,10.32,-2.32422807535262,-1.50273664948202,"Physiological"
"WH52-B-M","Pot-52","Wet","High","Heterospecific",28,12.68,0.19236974620857,-0.436104753587874,"Physiological"
"WH53-B-M","Pot-53","Wet","High","Heterospecific",41,14.64,-0.717425683169318,-0.550311735690355,"Physiological"
"WH54-B-M","Pot-54","Wet","High","Heterospecific",39,12.6,-0.331642713256509,-0.488259906964026,"Physiological"
"WH55-B-M","Pot-55","Wet","High","Heterospecific",47,12.7,0.00518328208636321,-0.532782241448213,"Physiological"
"WH56-B-M","Pot-56","Wet","High","Heterospecific",14,12.94,-1.47916935723996,-0.738855639381029,"Physiological"
"WH57-B-M","Pot-57","Wet","High","Heterospecific",39,13.52,-1.06073692298884,-1.12108745766544,"Physiological"
"WH58-B-M","Pot-58","Wet","High","Heterospecific",41,14.34,-1.41924447066717,0.181762741462388,"Physiological"
"WH59-B-M","Pot-59","Wet","High","Heterospecific",44,12.58,-1.53490057068297,-0.0857304943628157,"Physiological"
"WH60-B-M","Pot-60","Wet","High","Heterospecific",45,9.9,0.38752721088654,1.03910688270113,"Physiological"
"DL61-B-S","Pot-61","Dry","Low","Conspecific",40,8.82,0.809275509363095,-0.00618813479377857,"Physiological"
"DL62-B-S","Pot-62","Dry","Low","Conspecific",38,11.46,1.31192231385557,0.139784094287,"Physiological"
"DL63-B-S","Pot-63","Dry","Low","Conspecific",46,8.42,1.31170945408073,0.831352033746987,"Physiological"
"DL64-B-S","Pot-64","Dry","Low","Conspecific",47,8.7,1.233220883916,-1.63181368934059,"Physiological"
"DL65-B-S","Pot-65","Dry","Low","Conspecific",25,10.5,1.61579382527236,0.500318448369492,"Physiological"
"DL66-B-S","Pot-66","Dry","Low","Conspecific",32,12.48,1.80707857159142,-1.78069654454092,"Physiological"
"DL67-B-S","Pot-67","Dry","Low","Conspecific",29,10.06,2.03767587756383,-0.292255776702149,"Physiological"
"DL68-B-S","Pot-68","Dry","Low","Conspecific",38,10.74,2.11862025279381,-0.673569922229321,"Physiological"
"DL69-B-S","Pot-69","Dry","Low","Conspecific",36,9.54,1.21972464841247,0.703091674997926,"Physiological"
"DL70-B-S","Pot-70","Dry","Low","Conspecific",37,9.34,1.75469069233327,-1.5341352830591,"Physiological"
"DL81-B-M","Pot-81","Dry","Low","Heterospecific",25,8.82,2.9607883257825,0.0242719665546567,"Physiological"
"DL82-B-M","Pot-82","Dry","Low","Heterospecific",26,9.98,2.66044090118424,0.272668328507819,"Physiological"
"DL83-B-M","Pot-83","Dry","Low","Heterospecific",31,8.96,0.711409158613311,0.183446888878322,"Physiological"
"DL84-B-M","Pot-84","Dry","Low","Heterospecific",21,12.22,0.696541151454035,-2.04734419461078,"Physiological"
