"Trait","term","DF","Sum_Sq","F","p","Variance_Explained","Partial_Eta2"
"RDMC","Intensity:TB_pot_c",1,70.8055420101155,0.12236812573313,0.727747188893863,0.204475790978384,0.00210535340659929
"RDMC","Frequency:TB_pot_c",1,52.9755352276989,0.0915538073926024,0.763293533832647,0.152985404258885,0.00157602614135881
"RDMC","Intensity:Frequency:TB_pot_c",1,50.1254565816198,0.0866282214538226,0.769559080166028,0.144754804379791,0.00149136254085113
"RDMC","Residuals",58,33560.3852063808,NA,NA,96.9173614917547,NA
"SRL","Intensity",1,17.7582116478534,0.0923474857859639,0.762301305923268,0.158201668310431,0.00158966696617931
"SRL","Frequency",1,0.94574679174184,0.00491813816275007,0.944331878907919,0.0084253258841457,8.47882958999353e-05
"SRL","TB_pot_c",1,5.90939431299012,0.030730442802695,0.861453685290722,0.0526447176978104,0.000529554644034407
"SRL","Intensity:Frequency",1,6.84553376286567,0.0355986201988977,0.851005431310176,0.0609844551487616,0.00061339283207648
"SRL","Intensity:TB_pot_c",1,10.3764815960076,0.0539605003982176,0.817127392365459,0.0924404288130734,0.000929488702116154
"SRL","Frequency:TB_pot_c",1,0.175607116878382,0.000913204327745512,0.975995926902997,0.00156442210557295,1.57446543044666e-05
"SRL","Intensity:Frequency:TB_pot_c",1,29.7678514472063,0.15480084892061,0.695431688114456,0.265191329755008,0.00266187566049387
"SRL","Residuals",58,11153.2681892683,NA,NA,99.3605476522852,NA
"SRA","Intensity",1,2081.98244242469,0.349942140743954,0.556444644581677,0.594811873045844,0.00599730056115344
"SRA","Frequency",1,0.000988787913229316,1.66196674883693e-07,0.999676123566465,2.82491714977224e-07,2.86545990357696e-09
"SRA","TB_pot_c",1,379.792248012091,0.0638359428970627,0.801425989657893,0.108504727900238,0.00109940967317148
"SRA","Intensity:Frequency",1,636.225998146401,0.106937639459159,0.744835179680251,0.181766555724262,0.00184035923769866
"SRA","Intensity:TB_pot_c",1,414.312370902044,0.0696381271310403,0.792799768788728,0.11836695273727,0.00119921751498748
"SRA","Frequency:TB_pot_c",1,450.582450960123,0.075734446293894,0.784141434247282,0.128729131502689,0.00130406351320327
"SRA","Intensity:Frequency:TB_pot_c",1,989.511643128353,0.166318320285224,0.684906299908043,0.282698480955675,0.0028593578739059
"SRA","Residuals",58,345071.277794423,NA,NA,98.5851219956423,NA
"RTD","Intensity",1,0.000621567779182187,1.23474202830276,0.271071985099789,2.03090938318262,0.0208448958503574
"RTD","Frequency",1,2.40032360682568e-05,0.0476823371181573,0.827912911791103,0.0784281280183311,0.000821433952198763
"RTD","TB_pot_c",1,6.61508927542499e-05,0.131408496754591,0.718293724584656,0.21614130156051,0.00226054210886577
"RTD","Intensity:Frequency",1,0.000162368465610827,0.322544339129838,0.572274707138219,0.530522416679742,0.00553035439013651
"RTD","Intensity:TB_pot_c",1,6.9059461184677e-05,0.137186356874638,0.712443559475323,0.225644752535326,0.00235970065755369
"RTD","Frequency:TB_pot_c",1,0.000347129846976307,0.689572120202068,0.409715165782426,1.13421140383837,0.0117494828346977
"RTD","Intensity:Frequency:TB_pot_c",1,0.000117976165478016,0.234359203827085,0.630133204825211,0.385475099395361,0.00402441457296371
"RTD","Residuals",58,0.0291971362164787,NA,NA,95.3986675147897,NA
